year,agebin,thous,birthrate
1962,40-44,6152,14.9
1962,45-49,5831,0.9
1962,remainder,134184,0
1963,10-14,8911,0.9
1963,15-19,7647,76.7
1963,20-24,6345,229.1
1963,25-29,5533,185.1
1963,30-34,5767,105.8
1963,35-39,6297,51.2
1963,40-44,6256,14.2
1963,45-49,5683,0.9
1963,remainder,136044,0
1964,10-14,9114,0.9
1964,15-19,8008,73.1
1964,20-24,6618,217.5
1964,25-29,5637,178.7
1964,30-34,5658,103.4
1964,35-39,6212,49.9
1964,40-44,6322,13.8
1964,45-49,5747,0.8
1964,remainder,137815,0
1965,10-14,9357,0.8
1965,15-19,8386,70.5
1965,20-24,6846,195.3
1965,25-29,5727,161.6
1965,30-34,5607,94.4
1965,35-39,6121,46.2
1965,40-44,6368,12.8
1965,45-49,5827,0.8
1965,remainder,139287,0
1966,10-14,9565,0.8
1966,15-19,8842,70.3
1966,20-24,6993,185.6
1966,25-29,5889,148.2
1966,30-34,5579,85.1
1966,35-39,6030,41.9
1966,40-44,6373,11.7
1966,45-49,5925,0.7
1966,remainder,140380,0
1967,10-14,9800,0.9
1967,15-19,8836,67.5
1967,20-24,7581,172.9
1967,25-29,6105,142.1
1967,30-34,5585,78.7
1967,35-39,5933,38.3
1967,40-44,6347,10.6
1967,45-49,6038,0.7
1967,remainder,141232,0
1968,10-14,9990,1
1968,15-19,9013,65.6
1968,20-24,7847,166.5
1968,25-29,6455,140
1968,30-34,5659,74.2
1968,35-39,5829,35.4
1968,40-44,6294,9.6
1968,45-49,6148,0.6
1968,remainder,142164,0
1969,10-14,10128,1
1969,15-19,9234,65.5
1969,20-24,8187,165.7
1969,25-29,6696,143
1969,30-34,5768,73.5
1969,35-39,5725,33.1
1969,40-44,6222,8.8
1969,45-49,6230,0.5
1969,remainder,143195,0
1970,10-14,10230,1.2
1970,15-19,9517,68.3
1970,20-24,8544,167.8
1970,25-29,6914,145.1
1970,30-34,5871,73.3
1970,35-39,5679,31.7
1970,40-44,6148,8.1
1970,45-49,6277,0.5
1970,remainder,144804,0
1971,10-14,10346,1.1
1971,15-19,9740,64.5
1971,20-24,9027,150.1
1971,25-29,7061,134.1
1971,30-34,6036,67.3
1971,35-39,5665,28.7
1971,40-44,6062,7.1
1971,45-49,6280,0.4
1971,remainder,146610,0
1972,10-14,10347,1.2
1972,15-19,9988,61.7
1972,20-24,9021,130.2
1972,25-29,7652,117.7
1972,30-34,6268,59.8
1972,35-39,5688,24.8
1972,40-44,5971,6.2
1972,45-49,6223,0.4
1972,remainder,148126,0
1973,10-14,10310,1.2
1973,15-19,10193,59.3
1973,20-24,9198,119.7
1973,25-29,7918,112.2
1973,30-34,6652,55.6
1973,35-39,5744,22.1
1973,40-44,5885,5.4
1973,45-49,6178,0.3
1973,remainder,149279,0
1974,10-14,10243,1.2
1974,15-19,10349,57.5
1974,20-24,9415,117.7
1974,25-29,8282,111.5
1974,30-34,6929,53.8
1974,35-39,5836,20.2
1974,40-44,5797,4.8
1974,45-49,6114,0.3
1974,remainder,150377,0
1975,10-14,10112,1.3
1975,15-19,10465,55.6
1975,20-24,9677,113
1975,25-29,8660,108.2
1975,30-34,7173,52.3
1975,35-39,5931,19.5
1975,40-44,5700,4.6
1975,45-49,6072,0.3
1975,remainder,151675,0
1976,10-14,9837,1.2
